name,gs_email,as_chair,as_pc,as_author,papers
"Aalst, Wil Van Der",@tue.nl,0,0,1,CCGrid_17_025
"Aba, Massinissa Ait",@cea.fr,0,0,1,HCW_17_006
"Ababei, Cristinel",@marquette.edu,0,1,0,
"Abadi, Daniel J.",@cs.yale.edu,0,1,1,CIDR_17_021
"Abari, Omid",@mit.edu,0,0,1,NSDI_17_032
"Abbadi, Amr El",@cs.ucsb.edu,0,0,1,HotCloud_17_014
"Abbadi, Mohamed",,0,0,1,SLE_17_001
"Abbas, Naeem",@pnec.nust.edu.pk,0,0,1,IPDPS_17_028
"Abdel-Majeed, Mohammad",@ju.edu.jo,0,0,1,HPCA_17_045
"Abdelbaky, Moustafa",@rutgers.edu,0,0,1,CCGrid_17_042
"Abdelhafez, Hazem",@ece.ubc.ca,0,0,1,EuroPar_17_005
"Abdelhalim, Amer",@anl.gov,0,1,0,
"Abdelwahed, Sherif",@ece.msstate.edu,0,0,1,Cluster_17_028
"Abdelzaher, Tarek",@cs.uiuc.edu,0,1,1,ICAC_17_014
"Abdolrashidi, Amirali",@email.ucr.edu,0,0,1,MICRO_17_048
"Abdulah, Sameh",,0,1,0,
"Abduljabbar, Mustafa",@kaust.edu.sa,0,0,2,"ISC_17_005,EuroPar_17_026"
"Abdulla, Parosh Aziz",@it.uu.se,0,0,1,PLDI_17_019
"Abe, Naoki",,0,1,0,
"Abe, Tatsuya",,0,0,1,OOPSLA_17_031
"Abedi, Ali",@maine.edu,0,0,1,ICPE_17_023
"Abedjan, Ziawasch",@tu-berlin.de,0,0,1,CIDR_17_005
"Aben, Emile",,0,0,2,"SIGCOMM_17_031,IMC_17_002"
"Abeydeera, Maleen",@mit.edu,0,0,2,"ISCA_17_045,PACT_17_006"
"Abhashkumar, Anubhavnidhi",@wisc.edu,0,0,1,CoNEXT_17_023
"Aboulnaga, Ashraf",@qf.org.qa,0,2,0,
"Abowd, John",@census.gov,0,0,1,SIGMOD_17_022
"Abraham, Ittai",@cs.huji.ac.il,0,1,2,"NSDI_17_003,SOSP_17_030"
"Abrahao, Bruno",@cs.stanford.edu,0,1,0,
"Abramson, David",@monash.edu,1,4,0,
"Abts, Dennis",@acm.org,0,1,0,
"Abu-Ghazaleh, Nael",@cs.ucr.edu,0,0,2,"MICRO_17_020,MICRO_17_026"
"Abu-Salma, Ruba",,0,0,1,SP_17_032
"Abulila, Ahmed",,0,0,1,HPCA_17_003
"Acar, Gunes",@princeton.edu,0,0,1,CCS_17_125
"Acar, Umut A.",@cs.cmu.edu,0,1,2,"PPoPP_17_022,PLDI_17_035"
"Acar, Yasemin",,0,0,4,"SP_17_010,SP_17_047,CCS_17_066,CCS_17_135"
"Accioly, Paola",@cin.ufpe.br,0,0,1,OOPSLA_17_018
"Acer, Mustafa Emre",,0,0,1,CCS_17_088
"Acer, Seher",@bilkent.edu.tr,0,0,1,EuroPar_17_038
"Acharya, Ayan",@utexas.edu,0,1,0,
"Achermann, Reto",@inf.ethz.ch,0,0,1,HotOS_17_023
"Acun, Bilge",@illinois.edu,0,0,1,HiPC_17_026
"Adam, Omer",,0,0,1,CCGrid_17_062
"Adams, Michael D.",@utah.edu,0,0,1,OOPSLA_17_042
"Adamsen, Christoffer Quist",@cs.au.dk,0,0,1,OOPSLA_17_038
"Adeniyi-Jones, Chris",,0,1,0,
"Adersberger, Josef",,0,0,1,FAST_17_016
"Adhinarayanan, Vignesh",@vt.edu,0,0,1,IPDPS_17_096
"Adib, Fadel",@mit.edu,0,1,2,"SIGCOMM_17_021,MobiCom_17_019"
"Adrian, David",@umich.edu,0,0,1,NDSS_17_024
"Adve, Sarita V.",@illinois.edu,0,0,2,"ISCA_17_013,IISWC_17_030"
"Afroz, Sadia",@icsi.berkeley.edu,0,1,0,
"Afsahi, Ahmad",,0,2,1,HiPC_17_037
"Aftandilian, Edward",@google.com,0,1,1,OOPSLA_17_014
"Aga, Misiker Tadesse",@umich.edu,0,0,1,HPCA_17_022
"Aga, Shaizeen",@umich.edu,0,0,2,"HPCA_17_036,ISCA_17_008"
"Agache, Alexandru",,0,0,2,"EuroSys_17_009,SIGCOMM_17_029"
"Agarwal, Neha",@umich.edu,0,0,1,ASPLOS_17_043
"Agarwal, Nipun",,0,0,1,MICRO_17_019
"Agarwal, Rachit",@cs.cornell.edu,0,1,2,"EuroSys_17_008,SIGMOD_17_051"
"Agarwal, Sameer",@cs.berkeley.edu,0,1,0,
"Agarwal, Sharad",@microsoft.com,0,2,0,
"Ageev, Mikhail",@yandex.com,0,1,0,
"Aggarwal, Charu",@us.ibm.com,0,1,5,"ICDM_17_002,KDD_17_025,KDD_17_034,KDD_17_035,KDD_17_044"
"Aggarwal, Pooja",,0,0,1,HiPC_17_011
"Aghayev, Abutalib",,0,0,1,FAST_17_008
"Agichtein, Eugene",@mathcs.emory.edu,0,2,0,
"Agostini, Elena",,0,0,1,CCGrid_17_014
"Agrawal, Abhinav",@ncsu.edu,0,0,2,"IISWC_17_031,SC_17_058"
"Agrawal, Abhishek",@intel.com,0,1,0,
"Agrawal, Aditya",@illinois.edu,0,0,3,"SIGMETRICS_17_015,MICRO_17_007,MICRO_17_041"
"Agrawal, Ankit",@eecs.northwestern.edu,0,1,2,"HiPC_17_010,HiPC_17_023"
"Agrawal, Divyakant",@cs.ucsb.edu,0,0,2,"SIGMOD_17_081,HotCloud_17_014"
"Agrawal, Gagan",@cse.ohio-state.edu,1,2,2,"PPoPP_17_019,CCGrid_17_029"
"Agrawal, Gaurav",@google.com,0,0,1,ISCA_17_001
"Agrawal, Kunal",@wustl.edu,0,0,3,"PPoPP_17_017,PPoPP_17_023,ICPP_17_008"
"Agrawal, Nitin",@cs.wisc.edu,0,1,2,"SOSP_17_039,Middleware_17_014"
"Agrawal, Rakesh",@microsoft.com,0,1,0,
"Agrawal, Sandeep R.",@oracle.com,0,1,1,MICRO_17_019
"Agrawal, Shashank",@visa.com,0,0,1,CCS_17_042
"Agrawal, Shweta",@iitm.ac.in,0,0,1,CCS_17_142
"Aguiar, Leandro P. De",,0,0,1,SIGMETRICS_17_008
"Aguilera, Marcos K.",@vmware.com,1,1,0,
"Agullo, Emmanuel",,0,1,0,
"Agung, Mulya",,0,0,1,HiPC_17_014
"Ahalt, Stan",,0,1,0,
"Ahamad, Mustaque",@cc.gatech.edu,0,0,1,NDSS_17_058
"Ahmad, Irfan",,0,1,1,ATC_17_037
"Ahmad, Ishfaq",@cse.uta.edu,0,0,1,IGSC_17_018
"Ahmad, Maaz Bin Safeer",,0,0,1,PLDI_17_024
"Ahmad, Masab",@uconn.edu,0,0,1,IPDPS_17_026
"Ahmad, Raza",,0,0,1,ICDM_17_068
"Ahmad, Yanif",@jhu.edu,0,1,0,
"Ahmed, Amal",@ccs.neu.edu,0,0,1,PLDI_17_020
"Ahmed, Kishwar",@fiu.edu,0,0,1,MASCOTS_17_014
"Ahmed, M Meraj",@g.rit.edu,0,0,1,IGSC_17_005
"Ahmed, Maruf",,0,0,1,Cluster_17_058
"Ahmed, Pritom",@ucr.edu,0,0,1,SIGMOD_17_071
"Ahmed, Salah",,0,0,1,SIGMOD_17_029
"Ahn, Dong H.",,0,0,2,"PPoPP_17_021,IISWC_17_029"
"Ahn, Ethan C.",@utsa.edu,0,0,1,HotStorage_17_010
"Ahn, Gail-Joon",@asu.edu,0,2,1,NDSS_17_008
"Ahn, Jung Ho",@snu.ac.kr,0,4,4,"HPCA_17_039,ASPLOS_17_052,IISWC_17_012,IISWC_17_022"
"Ahn, Soohan",,0,0,1,ICPE_17_020
"Ahrens, James",@lanl.gov,0,0,1,IPDPS_17_096
"Ai, Qingyao",@cs.umass.edu,0,0,2,"SIGIR_17_032,SIGIR_17_065"
"Ai, Zhiyuan",,0,0,1,ATC_17_010
"Aida, Kento",,0,1,0,
"Aiello, Luca Maria",@nokia-bell-labs.com,0,1,0,
"Aiello, Marco",@ieee.org,0,1,0,
"Aiken, Alex",@cs.stanford.edu,0,0,5,"ASPLOS_17_022,SC_17_013,HiPC_17_002,OOPSLA_17_046,PLDI_17_045"
"Ailamaki, Anastasia",@epfl.ch,0,0,2,"CIDR_17_008,SOCC_17_009"
"Ainsworth, Mark",@brown.edu,0,0,2,"HotStorage_17_021,Cluster_17_006"
"Aiyar, Srinivas",,0,0,1,NSDI_17_004
"Ajay, Jerry",@buffalo.edu,0,0,1,ASPLOS_17_029
"Aji, Ashwin",@amd.com,0,3,0,
"Akaria, Islam",,0,0,1,IPDPS_17_001
"Akbudak, Kadir",@cs.bilkent.edu.tr,0,0,1,ISC_17_002
"Akella, Aditya",@cs.wisc.edu,1,1,5,"ATC_17_033,SIGCOMM_17_018,SOCC_17_037,SOSP_17_022,CoNEXT_17_023"
"Akella, Venkatesh",,0,0,1,HPCA_17_020
"Aken, Dana Van",,0,0,2,"CIDR_17_014,SIGMOD_17_068"
"Akgun, Itir",@ece.ucsb.edu,0,0,1,ISCA_17_052
"Akkus, Istemi Ekin",@mpi-sws.org,0,0,2,"Middleware_17_003,CoNEXT_17_027"
"Akoglu, Ali",MISSING,0,1,1,HPCC_17_039
"Akoglu, Leman",@cs.cmu.edu,0,1,0,
"Akram, Riad",,0,0,1,IISWC_17_015
"Aksenov, Vitaly",,0,0,1,EuroPar_17_002
"Aktaş, Mehmet Fatih",MISSING,0,0,1,ICPP_17_026
"Aktolga, Elif",@cs.umass.edu,0,1,0,
"Akturk, Ismail",@umn.edu,0,0,1,ASPLOS_17_055
"Al-Fuqaha, Ala",@wmich.edu,0,0,1,HPCC_17_007
"Al-Hawaj, Khalid",,0,0,1,MICRO_17_057
"Al-Kiswany, Samer",@uwaterloo.ca,0,2,1,HPDC_17_003
